p_id,age,lat,lon,state,zip,nws_region,rural,edu,risk_tor,tortrack,torwatch,torwarn,warn_time,warn_time_minutes,warn_time_hours,watch_time,watch_time_minutes,watch_time_hours,warn_how_br_rad,warn_how_wx_rad,warn_how_tv,warn_how_siren,warn_how_int,warn_how_soc,warn_how_word,warn_how_phone,warn_how_oth,last_act,wx_info1,wx_info2,wx_info3,wx_info4,wx_info5,wx_info6,wx_info7,wx_info8,warn_rand,torn_svr_perc
62d1ef7d-405c-306f-c344-e483c81ab01d,40,39.2899,-84.5291,Ohio,45240,Eastern Region,2,5,4,torwarn,NA,2,2,,5,3,NA,NA,0,0,1,1,0,1,0,1,0,4,3,3,3,3,3,3,3,3,TORNADO,50
62d1efae-05dd-58c6-1521-73d5606e4db8,52,42.3888,-83.1895,Michigan,49242,Central Region,3,2,4,torwarn,NA,2,1,5,NA,1,10,NA,0,0,0,0,1,0,1,0,0,2,5,4,4,4,4,3,4,4,TORNADO,100
62d1efd0-b20f-f0e8-6219-7113a716001c,42,36.224,-83.3179,Tennessee,37760,Southern Region,3,8,3,torwatch,1,NA,1,20,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,2,3,1,1,3,SEVERE THUNDERSTORM,50
62d1efac-784f-6912-8727-16ec7b5be186,27,28.0684,-82.1616,Florida,33527,Southern Region,3,2,1,torwarn,NA,2,1,45,NA,1,45,NA,0,0,1,0,0,0,0,1,0,1,5,5,5,5,5,5,5,5,TORNADO,100
62d1efe9-7135-1a32-5a35-23d165c6bfbb,26,33.9776,-117.738,California,91789,Western Region,2,6,1,torwatch,2,NA,3,,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,SEVERE THUNDERSTORM,50
62d1efe8-af1f-ffde-eb81-0afbb757c4bc,45,37.5452,-121.226,California,95387,Western Region,3,3,1,torwarn,NA,2,1,20,NA,1,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,TORNADO,100
62d1efc9-bee7-3cc0-afa0-cec60b66ed1c,48,33.7485,-84.3871,Kentucky,41044,Central Region,3,6,4,torwarn,NA,2,2,,10,2,NA,5,1,0,1,1,1,0,0,0,0,0,5,5,5,5,5,5,5,5,SEVERE THUNDERSTORM,100
62d1efbe-87a7-ea9d-d9d4-4a31fa7b855a,35,39.7388,-104.987,Colorado,80013,Central Region,1,4,3,torwarn,NA,NA,2,,1,2,NA,1,0,0,1,0,1,0,0,0,0,1,5,5,5,5,4,4,4,4,TORNADO,75
62d1efcc-b6b9-486a-c640-a57745cdf9f3,25,37.1511,-83.7793,Kentucky,40977,Central Region,3,6,2,torwatch,1,NA,2,,3,3,NA,NA,0,0,1,0,0,0,0,0,0,2,1,4,4,1,1,1,4,3,TORNADO,90
62d1efea-57f5-a8a4-c535-5b5e6bbb0abd,43,39.0352,-94.5456,Missouri,64109,Central Region,1,3,4,torwarn,NA,2,1,3,NA,2,NA,3,0,0,1,1,1,0,0,1,0,1,2,4,4,3,3,3,5,4,SEVERE THUNDERSTORM,99
62d1efff-bc56-7f53-da15-765e0e4a0cfe,58,38.4272,-121.442,California,95758,Western Region,2,5,1,torwatch,2,NA,2,,12,2,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,3,1,3,4,4,TORNADO,100
