stateabbr,tor_count,risk_tor
AL,2431,4.0434783
AR,1936,1.7111111
AZ,273,4.0000000
CA,463,1.7647059
CO,2334,2.1250000
CT,121,2.6470588
DC,3,2.1666667
DE,69,5.0000000
FL,3540,2.8380952
GA,1839,3.0000000
IA,2814,1.3000000
ID,219,3.2222222
IL,2711,3.3214286
IN,1556,4.0000000
KS,4428,3.8235294
KY,1099,3.3409091
LA,2251,3.3333333
MA,178,2.5000000
MD,394,2.5263158
ME,134,2.0689655
MI,1073,2.7674419
MN,2087,3.5714286
MO,2570,3.8888889
MS,2441,3.6896552
MT,433,2.4285714
NC,1448,4.6666667
ND,1630,1.6956522
NE,2993,2.0000000
NH,96,2.6129032
NJ,172,2.1000000
NM,635,2.2345679
NV,94,2.7818182
NY,480,3.3000000
OH,1222,3.0757576
OK,4132,4.1111111
OR,123,1.9230769
PA,908,2.6323529
RI,13,1.6666667
SC,1140,3.0909091
SD,1899,3.2000000
TN,1335,3.5000000
TX,9233,3.0162602
UT,135,2.0000000
VA,801,2.0000000
VT,48,2.6285714
WA,127,1.7500000
WI,1488,2.3333333
WV,145,2.7142857
WY,713,2.0000000
